Date,Price,Open,High,Low,Vol.,Change %
6/25/2024,2.4978,2.4989,2.5175,2.4807,27.14K,0.11%
6/26/2024,2.5245,2.4853,2.5358,2.481,27.04K,1.07%
6/27/2024,2.5268,2.517,2.5624,2.5145,21.62K,0.09%
6/28/2024,2.471,2.4976,2.5195,2.4669,38.91K,-2.21%
7/1/2024,2.538,2.482,2.5395,2.482,52.01K,2.71%
7/2/2024,2.5354,2.5337,2.5698,2.531,61.04K,-0.10%
7/3/2024,2.5621,2.5337,2.5631,2.5073,56.29K,1.05%
7/4/2024,2.5494,2.5398,2.5551,2.5268,12.37K,-0.50%
7/5/2024,2.523,2.5394,2.5807,2.521,36.33K,-1.04%
7/8/2024,2.5062,2.512,2.5278,2.4926,46.15K,-0.67%
7/9/2024,2.4904,2.51,2.5199,2.4828,43.83K,-0.63%
7/10/2024,2.473,2.4777,2.4973,2.4595,46.92K,-0.70%
7/11/2024,2.4877,2.4857,2.496,2.4612,44.51K,0.59%
7/12/2024,2.4843,2.505,2.5067,2.4777,38.08K,-0.14%
7/15/2024,2.4646,2.4849,2.4849,2.4538,40.36K,-0.79%
7/16/2024,2.4457,2.4565,2.464,2.4175,48.80K,-0.77%
7/17/2024,2.4669,2.4373,2.472,2.428,49.67K,0.87%
7/18/2024,2.478,2.477,2.4861,2.4477,21.75K,0.45%
7/19/2024,2.4142,2.4702,2.4845,2.413,21.57K,-2.57%
7/22/2024,2.4288,2.426,2.4304,2.3842,27.59K,0.60%
7/23/2024,2.3757,2.4216,2.429,2.3744,26.35K,-2.19%
7/24/2024,2.4129,2.3941,2.4265,2.3855,28.40K,1.57%
7/25/2024,2.4295,2.404,2.4332,2.3695,25.83K,0.69%
7/26/2024,2.417,2.4375,2.4395,2.393,24.11K,-0.51%
7/29/2024,2.3723,2.4199,2.4281,2.3704,26.22K,-1.85%
7/30/2024,2.3443,2.3638,2.3752,2.3328,16.69K,-1.18%
7/31/2024,2.2562,2.18,2.2717,2.18,39.54K,-3.76%
8/1/2024,2.2193,2.28,2.28,2.2163,39.42K,-1.64%
8/2/2024,2.1395,2.2273,2.2391,2.1314,32.00K,-3.60%
8/5/2024,2.1433,2.1525,2.1693,2.0842,38.46K,0.18%
8/6/2024,2.1409,2.1719,2.1727,2.1216,28.23K,-0.11%
8/7/2024,2.172,2.1208,2.191,2.1207,33.74K,1.45%
8/8/2024,2.2043,2.178,2.2115,2.1603,36.28K,1.49%
8/9/2024,2.2023,2.2007,2.2137,2.1824,53.81K,-0.09%
8/12/2024,2.2593,2.2062,2.2605,2.2045,44.66K,2.59%
8/13/2024,2.2035,2.2515,2.253,2.1979,42.53K,-2.47%
8/14/2024,2.1556,2.2135,2.2184,2.1519,43.27K,-2.17%
8/15/2024,2.1859,2.1588,2.1991,2.1492,29.30K,1.41%
8/16/2024,2.1399,2.1782,2.1894,2.1331,21.20K,-2.10%
8/19/2024,2.0943,2.137,2.1445,2.0879,30.11K,-2.13%
8/20/2024,2.0835,2.095,2.1095,2.0652,19.75K,-0.52%
8/21/2024,2.0513,2.0735,2.0915,2.0296,35.66K,-1.55%
8/22/2024,2.0793,2.0463,2.0905,2.042,24.72K,1.36%
8/23/2024,2.1186,2.0725,2.1241,2.0725,25.26K,1.89%
8/26/2024,2.1349,2.1305,2.1707,2.1256,21.98K,0.77%
8/27/2024,2.0976,2.1363,2.1456,2.0919,29.40K,-1.75%
8/28/2024,2.0673,2.0906,2.0989,2.0581,25.05K,-1.44%
8/29/2024,2.1077,2.061,2.116,2.0514,18.84K,1.95%
8/30/2024,2.0546,2.0764,2.0966,2.043,45.59K,-2.52%
9/2/2024,2.0412,2.045,2.0467,2.0251,6.88K,-0.65%
9/3/2024,1.9553,2.0379,2.0456,1.944,43.49K,-4.21%
9/4/2024,1.9346,1.9576,1.9774,1.9231,34.90K,-1.06%
9/5/2024,1.9077,1.9321,1.9559,1.8988,40.19K,-1.39%
9/6/2024,1.8763,1.9174,1.9384,1.86,32.55K,-1.65%
9/9/2024,1.8959,1.8976,1.9214,1.8762,35.12K,1.04%
9/10/2024,1.8423,1.9132,1.9164,1.8312,41.92K,-2.83%
9/11/2024,1.8754,1.8565,1.8875,1.8317,42.63K,1.80%
9/12/2024,1.9064,1.8786,1.9257,1.8768,38.08K,1.65%
9/13/2024,1.9059,1.9125,1.9428,1.9039,35.23K,-0.03%
9/16/2024,1.9415,1.9162,1.9554,1.9009,27.03K,1.87%
9/17/2024,1.9754,1.9502,1.9795,1.9338,33.68K,1.75%
9/18/2024,1.9836,1.9666,1.9938,1.9383,21.76K,0.42%
9/19/2024,2.0284,1.9746,2.0354,1.9746,36.97K,2.26%
9/20/2024,2.0073,2.026,2.0265,2.0038,21.29K,-1.04%
9/23/2024,1.9676,2.009,2.0255,1.9486,22.90K,-1.98%
9/24/2024,2.0055,1.9795,2.0235,1.9795,20.37K,1.93%
9/25/2024,1.9742,2.0065,2.0065,1.9525,30.31K,-1.56%
9/26/2024,1.9348,1.9766,1.9855,1.9212,24.19K,-2.00%
9/27/2024,1.927,1.9149,1.9502,1.9058,23.26K,-0.40%
9/30/2024,1.9062,1.9041,1.9249,1.8836,42.42K,-1.08%
10/1/2024,1.9414,1.908,1.9799,1.8571,38.26K,1.85%
10/2/2024,1.9583,1.9595,1.999,1.9379,39.10K,0.87%
10/3/2024,2.0615,1.9856,2.0725,1.9745,45.71K,5.27%
10/4/2024,2.0686,2.07,2.0939,2.056,46.66K,0.34%
10/7/2024,2.1303,2.064,2.1387,2.0562,49.81K,2.98%
10/8/2024,2.0467,2.1309,2.1309,2.0222,59.98K,-3.92%
10/9/2024,2.0404,2.055,2.0633,1.9977,46.69K,-0.31%
10/10/2024,2.1214,2.0525,2.1263,2.0501,47.02K,3.97%
10/11/2024,2.1231,2.1191,2.132,2.0959,48.19K,0.08%
10/14/2024,2.0798,2.0915,2.1044,2.0325,35.79K,-2.04%
10/15/2024,2.0074,2.0256,2.0266,1.98,40.62K,-3.48%
10/16/2024,2.0064,2.0108,2.0195,1.9883,39.14K,-0.05%
10/17/2024,2.0103,2.0145,2.0185,1.9731,50.23K,0.19%
10/18/2024,1.9661,2.0071,2.018,1.9514,37.99K,-2.20%
10/21/2024,1.9831,1.966,2.0046,1.9636,27.15K,0.86%
10/22/2024,2.0365,1.9779,2.0399,1.9635,25.52K,2.69%
10/23/2024,2.0041,2.0368,2.0368,1.9934,27.53K,-1.59%
10/24/2024,1.9923,2.0255,2.0385,1.9792,27.20K,-0.59%
10/25/2024,2.037,2,2.0418,1.986,20.89K,2.24%
10/28/2024,1.9257,1.9695,1.9698,1.9218,28.49K,-5.46%
10/29/2024,1.9179,1.9353,1.9519,1.9027,23.15K,-0.41%
10/30/2024,1.959,1.9228,1.9722,1.9219,24.41K,2.14%
